hostel, dormitory	りょう
anxiety	しんぱい
to get angry	おこる
worry	ふあん
emberrassing, shy (ciki)	はずかしい
scary	こわり
sad	かなしい
happy, glad	うれしい
shelf	たな
to be seen	みえる
disorderly	めちゃめちゃ
weather report	てんいよほう
It's cold the whole week.	こんしゅうは ずっと さむいです。
I think it's a dog.	いぬだとおもいます。
I hope it's a dog.	いぬだといいです。
chance / opportunity	きかい	deck#4	due@2024-01-23 01:00:00
chance to speak	はなすきかい	deck#4	due@2024-01-23 01:00:00
I am not planning to learn this year. 2	ことし は べんきょうしない つもりです。 2	deck#4	due@2024-01-23 01:00:00
I am not planning to learn this year. 1	ことし は べんきょうする つもり は ありません。1	deck#4	due@2024-01-23 01:00:00
I have decided to learn a lot this year.	ことし は たくさん べんきょうする つもりです。	deck#4	due@2024-01-23 01:00:00
I want a dog.	わたし は いぬ が ほしいです。	deck#4	due@2024-01-23 01:00:00
I want to swim a lot this year.	ことしはたくさん およぎたいとおもいます。	deck#4	due@2024-01-23 01:00:00
I think the teacher is busy.	せんせいはいそがしいとおもいます。	deck#4	due@2024-01-23 01:00:00
to play a stringed / keyboard instrument	ひく	deck#5	due@2024-01-23 01:00:00
future (prospects, plans)	しょうらい	deck#5	due@2024-01-23 01:00:00
to know, to be aware of	しる	deck#6	due@2024-01-25 01:00:00
to wash face	かお お あらう	deck#6	due@2024-01-25 01:00:00
to dress up	ふく お きる	deck#6	due@2024-01-25 01:00:00
even more, further	もっと	deck#6	due@2024-01-25 01:00:00
lonely	さびしい	deck#6	due@2024-01-25 01:00:00
to teach, to tell	おしえる	deck#6	due@2024-01-25 01:00:00
to memorize, to learn	おぼれる	deck#6	due@2024-01-25 01:00:00
relativity theory	そうたいろん	deck#6	due@2024-01-25 01:00:00
quantum theory	りょうしろん	deck#5	due@2024-01-23 01:00:00
physics	ぶつり	deck#2	due@2024-01-23 01:00:00
short	みじかい	deck#6	due@2024-01-24 01:00:00
I'm looking forward to the trip.	りょこう が たのしみです。	deck#6	due@2024-01-24 01:00:00
Before the exam, let's go eat.	しけんの前にごはんを食べに行きましょう。	deck#7	due@2024-01-25 01:00:00
来ます、来て、来ない (こない)、来た	来る(ます、て、ない, た)	deck#7	due@2024-01-26 01:00:00
書きます、書いて、書かない, 書いた	書く(ます + て)	deck#5	due@2024-01-24 01:00:00
およぎます、およいで、およがない、およいだ	およぐ(ます + て)	deck#7	due@2024-01-25 01:00:00
話します、話して、話さない、話した	話す(ます + て)	deck#7	due@2024-01-25 01:00:00
